"instruction","response"
"How can I reset my password?","To reset your password, go to the login page and click 'Forgot Password'. Follow the instructions sent to your email."
"What are your store hours?","Our store is open from 9 AM to 9 PM Monday through Saturday, and 10 AM to 6 PM on Sundays."
"Can you help me track my order?","Yes, provide me with your order number and I'll help you track it."
"What is the refund policy?","Our refund policy allows returns within 30 days of purchase with a receipt."
"How do I contact customer service?","mailto:support@store.com"
"Do you offer international shipping?","Yes, we ship internationally. Shipping charges and times vary depending on the destination."
"Can I change my delivery address after ordering?","Once the order is placed, changing the delivery address may not be possible. Please contact customer service immediately."
"What payment methods are accepted?","We accept all major credit cards, PayPal, and Apple Pay."
"How do I create an account?","Go to the sign-up page and fill in the required details with a valid email address."
"Is there a warranty on your products?","Yes, all our products come with a one-year warranty covering manufacturing defects."
